LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(µm),(µm),(µm),(µm),(radians),,(µm^2),(µm),,,
ID7235,7235,13,2462.0,7.912859390525004,110.78202553095456,0.0,173.0,173,8.369101799692533,1,,2628.342950020317,2798.0,1116.0,3427.0,6468352.0,474.08982397775776,0.28521704268044695,2.4606530941939604,-0.5208999299545716,0.07078024416117516,11.036074522331548,6.932996272455333,0.6486117631330943,1.5918189032031749,220.04300831917908,57.756750448515255,0.8289186985801361,0.9677609593080404,3.8935787570198577
ID7494,7494,13,3704.0,6.789220131262778,112.1384915504655,0.0,189.0,189,10.27116037368969,1,,3074.164686825054,3253.0,1589.0,4029.0,1.1386706E7,542.4739250584854,0.3834067271212611,3.1411458539872044,-1.6425501705456138,0.27780017589499045,12.300022039523785,10.679558499821225,-1.3012499755341413,1.1517350684234453,331.42776897962887,72.58540597343807,0.7904968378275925,0.9647410876919075,3.987079207983174
ID8010,8010,13,3977.0,7.1313928283662085,107.65018421440647,0.0,208.0,208,10.640594671100201,1,,3573.754213836478,3698.0,1471.0,4667.0,1.4205673E7,618.3719779281678,0.41858489241321906,3.410618115575323,-1.2656144767892443,0.02426802771422665,12.664675879772174,10.343473891049863,-1.4433383817096228,1.2244122248648814,355.69820438838644,75.51678485477184,0.7837987271202672,0.9605310802655401,4.00407916239835
ID6992,6992,13,2352.0,4.356038139415977,116.09778028698717,0.0,161.0,161,8.186918834115694,1,,2948.446998722861,3121.0,1410.0,3984.0,6925902.0,573.2808329213078,0.37351158395954404,2.797226590776873,-1.8466211362690228,0.11275309256404782,11.561426068970006,8.043456382881134,-1.4601743546659336,1.4373703938491116,210.567258214839,60.76488861609003,0.7166305099239804,0.9818674447686536,4.187523767766861
ID7763,7763,13,3481.0,6.128240319276426,109.79201008962791,0.0,203.0,203,9.958188015352905,1,,3433.870476737507,3615.0,1583.0,4595.0,1.1956737E7,599.2467858143435,0.4079987887494355,3.320968718279152,-1.9388018765394375,0.042745371836019785,12.36801973876114,10.401228630596245,1.6619539864109694,1.1890921907417151,311.53763314740564,71.48478220836427,0.7661136201764687,0.9668469968095436,4.050030933535233
ID8531,8531,13,2583.0,14.353491499946767,101.79553273819154,0.0,234.0,234,8.59388320455292,1,,4619.672447013488,4804.0,1817.0,6594.0,1.198805E7,929.4186125920445,0.498302257164145,3.306155181903769,0.01442673347901779,0.09353515290749002,11.003600115685515,6.942722960093718,2.7230068957360194,1.5849113062603004,232.02178675296736,58.46879335210994,0.8528847881846285,0.982771677394926,3.838484115584724
ID8535,8535,13,2743.0,21.48006275431374,112.71393764037579,0.0,234.0,234,8.819388410900634,1,,4649.054924935921,4863.0,1718.0,6184.0,1.2696569E7,876.0607184037699,0.46822597530412036,3.3847224736281243,-0.09361151135013072,-0.10300424668611269,10.956914876314151,7.330205187150869,-0.22672124107355007,1.4947623697520158,244.35814066239107,59.36142038835736,0.8714211727629952,0.9864669794298083,3.797439628162439
ID7004,7004,13,3054.0,5.35297174871699,115.21422276315637,0.0,163.0,163,9.314459156246766,1,,2520.542172628815,2671.0,1039.0,3613.0,7680092.0,659.3441851875612,0.3450998059267798,1.9615617690406872,-2.939107547387335,0.44626071741648554,12.521565430672869,10.210525513631515,1.9508717172213732,1.2263389787289607,272.56190630313904,67.6033701256424,0.749442518802005,0.9870508255098733,4.094828974802212
ID8286,8286,13,2575.0,11.809196175079059,100.1978217858077,0.0,224.0,224,8.556552583146075,1,,3958.6823483670296,4218.0,1703.0,5364.0,1.0181731E7,788.9682373901418,0.36861840333381757,2.7028115668568145,0.04412552658305895,0.18750531425326955,11.248599472784452,6.787389858657241,3.0527671912306555,1.6572791171612142,230.01042470251775,59.87334957771047,0.8062881435875592,0.962408827379839,3.9478422922795255
ID7264,7264,13,2623.0,9.434367934657363,109.99806569744669,0.0,179.0,179,8.64422955368222,1,,2762.8178353658536,2948.0,1422.0,3567.0,7249634.0,512.0547147055612,0.3027605683978728,2.5078443840008724,0.024984813388478785,0.005183238386333267,11.107939854309489,6.80182758372425,0.6764682334497901,1.633081656008029,234.7482997546879,59.75866089637716,0.8260581215570756,0.9663293468261268,3.9003145156107992
